Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
Yorkshire and The Humber,E07000164,Hambleton,89140,8628,22637,25203,13493,29502,25480,53.66,46.34,78.45,Leave
North East,E08000024,Sunderland,275506,36654,73798,68806,33595,82394,51930,61.34,38.66,64.86,Leave
South West,E07000041,Exeter,117773,23182,30595,23470,13519,28533,35270,44.72,55.28,73.91,Remain
East,E06000033,Southend-on-Sea,173658,21114,49684,39441,22330,54522,39348,58.08,41.92,72.9,Leave
South West,E07000187,Mendip,109279,10473,28176,29156,15068,32028,33427,48.93,51.07,77.01,Remain
Wales,W06000018,Caerphilly,178806,22042,48710,43713,20289,53295,39178,57.63,42.37,70.74,Leave
East,E07000144,Broadland,124646,10827,32933,34449,19885,42268,35469,54.37,45.63,78.37,Leave
South East,E06000045,Southampton,236882,51169,63685,43148,22129,57927,49738,53.8,46.2,68.14,Leave
East,E07000103,Watford,90301,13764,28878,16885,8008,23419,23167,50.27,49.73,71.68,Leave
East,E07000095,Broxbourne,93609,11291,27038,20850,10972,33706,17166,66.26,33.74,73.78,Leave
London,E09000032,Wandsworth,306995,70916,111903,43807,19201,39421,118463,24.97,75.03,71.98,Remain
East,E07000204,St Edmundsbury,111008,13704,30052,27043,14708,35224,26986,56.62,43.38,76.72,Leave
North East,E08000023,South Tyneside,148127,18348,39156,37407,19757,49065,30014,62.05,37.95,68.27,Leave
West Midlands,E07000220,Rugby,100075,11504,28699,23699,11933,33199,25350,56.7,43.3,79.03,Leave
East Midlands,E07000171,Bassetlaw,112863,12048,30590,29946,14433,43392,20575,67.83,32.17,74.82,Leave
West Midlands,E07000239,Wyre Forest,97975,10413,25612,27002,13771,36392,21240,63.15,36.85,74.05,Leave
East,E06000031,Peterborough,183631,27548,52992,36947,17969,53216,34176,60.89,39.11,72.35,Leave
South East,E06000039,Slough,140205,22925,44895,22718,9288,29631,24911,54.33,45.67,62.13,Leave
East,E07000010,Fenland,95262,10950,24849,24472,13796,37571,15055,71.39,28.61,73.69,Leave
East Midlands,E07000173,Gedling,113543,12207,31449,29074,14992,37542,30035,55.55,44.45,76.6,Leave
South West,E07000188,Sedgemoor,114588,11864,28882,31050,16533,41869,26545,61.2,38.8,76.3,Leave
North West,E08000013,St. Helens,175308,21023,47311,44459,21804,54357,39322,58.02,41.98,68.86,Leave
London,E09000016,Havering,237232,29638,63948,55808,31224,96885,42201,69.66,30.34,76.02,Leave
East Midlands,E07000039,South Derbyshire,94611,10273,28065,23095,9889,34216,22479,60.35,39.65,76.8,Leave
Wales,W06000005,Flintshire,152506,17517,41291,39101,18381,48930,37867,56.37,43.63,74.9,Leave
London,E09000015,Harrow,239056,35411,69696,49623,24295,53183,64042,45.37,54.63,72.26,Remain
London,E09000007,Camden,220338,47786,72817,36881,16671,23838,71295,25.06,74.94,65.52,Remain
East Midlands,E07000137,East Lindsey,136401,12309,30417,42539,24227,56613,23515,70.65,29.35,74.93,Leave
London,E09000003,Barnet,356386,55338,107843,68635,34106,60823,100210,37.77,62.23,72.14,Remain
South West,E07000045,Teignbridge,124220,11126,30670,35657,20619,44363,37949,53.9,46.1,79.4,Leave
South East,E07000061,Eastbourne,99412,12156,24937,23541,16953,30700,22845,57.33,42.67,74.73,Leave
London,E09000014,Haringey,254926,46897,89014,39952,15689,25855,79991,24.43,75.57,70.64,Remain
Yorkshire and The Humber,E08000019,Sheffield,552698,94939,146764,112595,61584,136018,130735,50.99,49.01,67.34,Leave
East,E07000100,St Albans,140664,14173,43390,31080,15745,32237,54208,37.29,62.71,82.51,Remain
South East,E07000116,Tunbridge Wells,115049,12384,33349,26569,13588,29320,35676,45.11,54.89,79.14,Remain
North West,E08000008,Tameside,219324,28064,61948,51727,23675,67829,43118,61.14,38.86,66.06,Leave
South East,E07000224,Arun,149518,14757,35889,40107,29064,56936,34193,62.48,37.52,77.86,Leave
North West,E07000027,Barrow-in-Furness,69087,7912,18478,17847,8977,21867,14207,60.62,39.38,67.87,Leave
South West,E07000043,North Devon,93667,9386,23078,25874,14653,33100,24931,57.04,42.96,76.85,Leave
East,E07000202,Ipswich,133384,20439,37503,27783,14591,38655,27698,58.26,41.74,72.51,Leave
London,E09000029,Sutton,190146,23842,59381,40248,19670,57241,49319,53.72,46.28,76.01,Leave
West Midlands,E07000198,Staffordshire Moorlands,97106,9227,25677,27722,14000,38684,21076,64.73,35.27,75.36,Leave
East,E07000096,Dacorum,144847,16590,42344,33601,16609,43702,42542,50.67,49.33,79.21,Leave
East,E07000149,South Norfolk,124012,11097,32242,34074,18584,41541,38817,51.69,48.31,78.54,Leave
South East,E07000227,Horsham,131301,11518,36220,34525,18291,41303,43785,48.54,51.46,81.65,Remain
South East,E07000115,Tonbridge and Malling,120805,11645,34548,28911,14339,41229,32792,55.7,44.3,79.62,Leave
West Midlands,E08000029,Solihull,206674,22029,54952,51844,28066,68484,53466,56.16,43.84,76.06,Leave
South West,E06000027,Torbay,130959,13479,31602,35990,22260,47889,27935,63.16,36.84,73.69,Leave
East Midlands,E07000038,North East Derbyshire,99023,9784,25690,28164,14351,37235,22075,62.78,37.22,75.25,Leave
East Midlands,E06000018,Nottingham,305680,68998,80021,51115,26239,61343,59318,50.84,49.16,61.82,Leave
East,E07000074,Maldon,61629,5363,16265,18078,8347,24302,14529,62.58,37.42,79.17,Leave
Yorkshire and The Humber,E07000169,Selby,83449,8799,23642,22172,9543,30532,21071,59.17,40.83,79.1,Leave
South East,E07000091,New Forest,176462,15690,42401,49475,32401,64541,47199,57.76,42.24,79.25,Leave
South East,E07000005,Chiltern,92635,7399,24909,24258,12838,26363,32241,44.98,55.02,83.57,Remain
East Midlands,E07000034,Chesterfield,103788,11855,28659,26268,13639,34478,22946,60.04,39.96,71.92,Leave
East Midlands,E07000033,Bolsover,75866,8831,21040,19170,9430,29730,12242,70.83,29.17,72.33,Leave
South West,E06000025,South Gloucestershire,262767,31064,75284,61485,30944,83405,74928,52.68,47.32,76.24,Leave
London,E09000009,Ealing,338449,58550,110323,60209,25840,59017,90024,39.6,60.4,70.08,Remain
North West,E07000122,Pendle,89452,12023,23404,21313,10043,28631,16704,63.15,36.85,70.33,Leave
West Midlands,E07000196,South Staffordshire,108131,11007,28086,30605,15454,43248,23444,64.85,35.15,77.81,Leave
North West,E08000003,Manchester,503127,123593,140077,74987,34353,79991,121823,39.64,60.36,59.77,Remain
North West,E07000026,Allerdale,96422,9418,24969,27027,14121,31809,22429,58.65,41.35,72.92,Leave
